Concept,RF,SVM(RBF Kernel),ET,XGB,MLP
CONTROLLER,0.749,0.755,0.767,0.721,0.76
DATA SUBJECT RIGHT,0.783,0.785,0.749,0.822,0.834
USER CHOICE,0.517,0.398,0.582,0.464,0.559
COMPLAINT,0.743,0.737,0.719,0.703,0.8
PD CATEGORY,0.773,0.768,0.718,0.831,0.83
PD ORIGIN,0.775,0.778,0.731,0.834,0.834
LAWFUL BASIS,0.717,0.601,0.749,0.669,0.727
PROCESSING PURPOSES,0.677,0.705,0.624,0.747,0.772
PD SECURITY,0.752,0.717,0.776,0.705,0.696
TRANSFER OUTSIDE EUROPE,0.807,0.736,0.725,0.756,0.829
CHILDREN,0.881,0.69,0.844,0.844,0.841
PD STORAGE DETAILS,0.77,0.741,0.77,0.732,0.778
DATA SHARING,0.764,0.726,0.75,0.753,0.769
NON-GDPR,0.76,0.688,0.713,0.707,0.722
CONTROLLER.IDENTITY,0.375,0.455,0.5,0.144,0
CONTROLLER.CONTACT,0.763,0.673,0.696,0.644,0.699
DATA SUBJECT RIGHT.INFORMATION,0.71,0.592,0.709,0.562,0.679
DATA SUBJECT RIGHT.ACCESS,0.796,0.643,0.826,0.693,0.752
DATA SUBJECT RIGHT.RECTIFICATION,0.667,0.641,0.699,0.643,0.693
DATA SUBJECT RIGHT.RESTRICTION,0.778,0.57,0.715,0.674,0.712
DATA SUBJECT RIGHT.ERASURE,0.8,0.689,0.776,0.718,0.8
DATA SUBJECT RIGHT.OBJECT,0.684,0.597,0.658,0.64,0.688
DATA SUBJECT RIGHT.PORTABILITY,0.85,0.576,0.865,0.723,0.884
DATA SUBJECT RIGHT.WITHDRAW CONSENT,0.81,0.676,0.784,0.717,0.775
PD ORIGIN.DIRECT ACTIVE,0.663,0.637,0.615,0.609,0.545
PD ORIGIN.DIRECT PASSIVE,0.656,0.593,0.77,0.632,0.683
LAWFUL BASIS.CONTRACT,0.704,0.657,0.72,0.482,0.717
LAWFUL BASIS.LEGITIMATE INTEREST,0.729,0.667,0.685,0.653,0.729
LAWFUL BASIS.CONSENT,0.424,0.426,0.424,0.385,0.424
LAWFUL BASIS.LEGAL OBLIGATION,0.532,0.505,0.563,0.421,0.588
PD STORAGE DETAILS.TIME,0.754,0.739,0.757,0.732,0.699
PD STORAGE DETAILS.LOCATION,0.513,0.5,0.593,0.556,0
PD STORAGE DETAILS.DISPOSAL METHOD,0.545,0.508,0.5,0.526,0.476
DATA SHARING.RECIPIENT,0.637,0.578,0.655,0.616,0.653
DATA SHARING.CONDITION,0.712,0.656,0.777,0.643,0.702
,,,,,
Macro Average,0.702,0.64,0.7,0.649,0.676
